UWI,MD,Inc,Az,eoff,noff,tvd,ss,,KB = ,824
100/01-07-013-18W4/00,2346.6,90.95,45.52,1227.41,795,1042.91,-218.91,,,
100/01-07-013-18W4/00,2365.71,89.76,43.41,1240.79,808.68,1042.79,-218.79,,,
100/01-07-013-18W4/00,2384.89,89.1,43.05,1253.96,822.58,1042.98,-218.98,,,
100/01-07-013-18W4/00,2403.98,90.86,42.97,1266.91,836.59,1042.99,-218.99,,,
100/01-07-013-18W4/00,2423.13,91.08,44.72,1280.23,850.38,1042.67,-218.67,,,
100/01-07-013-18W4/00,2442.51,90.86,45.87,1293.97,863.95,1042.34,-218.34,,,
100/01-07-013-18W4/00,2461.78,91.08,45.69,1307.78,877.41,1042.01,-218.01,,,
100/01-07-013-18W4/00,2480.86,90.42,45.78,1321.45,890.75,1041.76,-217.76,,,
100/01-07-013-18W4/00,2500,89.63,45.25,1335.05,904.1,1041.75,-217.75,,,
100/01-07-013-18W4/00,2518.99,87.87,44.55,1348.43,917.56,1042.17,-218.17,,,
100/01-07-013-18W4/00,2538,87.43,45.87,1361.96,930.9,1042.95,-218.95,,,
100/01-07-013-18W4/00,2557.22,88.26,45.6,1375.7,944.36,1043.67,-219.67,,,
100/01-07-013-18W4/00,2576.36,89.01,45.16,1389.29,957.81,1044.13,-220.13,,,
100/01-07-013-18W4/00,2594.74,90.29,47.98,1402.6,970.38,1044.24,-220.24,,,
100/01-07-013-18W4/00,2613.53,90.86,48.06,1416.63,982.95,1044.05,-220.05,,,
100/01-07-013-18W4/00,2632.72,90.95,47.98,1430.87,995.85,1043.75,-219.75,,,
100/01-07-013-18W4/00,2651.67,90.9,48.42,1444.97,1008.42,1043.44,-219.44,,,
100/01-07-013-18W4/00,2670.4,90.55,48.42,1459,1020.88,1043.2,-219.2,,,
100/01-07-013-18W4/00,2689.25,89.41,47.89,1473.03,1033.44,1043.21,-219.21,,,
100/01-07-013-18W4/00,2708.05,89.8,47.27,1486.91,1046.12,1043.34,-219.34,,,
100/01-07-013-18W4/00,2726.63,89.36,47.45,1500.58,1058.69,1043.48,-219.48,,,
